state,shape,Number of Shapes Per State
mt,triangle,36
mt,circle,32
mt,oval,27
mt,disk,26
mt,sphere,25
mt,formation,15
mt,flash,11
mt,changing,10
mt,diamond,10
mt,cigar,9
mt,chevron,8
mt,egg,4
mt,rectangle,4
mt,cylinder,3
mt,teardrop,3
mt,cross,2
mt,cone,1
nc,light,354
nc,other,239
nc,circle,181
nc,triangle,174
nc,fireball,125
nc,sphere,125
nc,disk,109
nc,oval,75
nc,formation,61
nc,cigar,45
nc,changing,41
nc,cylinder,30
nc,rectangle,30
nc,flash,28
nc,chevron,26
nc,diamond,24
nc,egg,15
nc,teardrop,15
nc,cone,8
nc,cross,6
nd,triangle,23
nd,light,20
nd,other,18
nd,disk,12
nd,circle,9
nd,oval,6
nd,changing,5
nd,fireball,5
nd,cigar,4
nd,sphere,4
nd,cylinder,3
nd,diamond,3
nd,flash,3
nd,rectangle,3
nd,teardrop,2
nd,chevron,1
nd,egg,1
nd,formation,1
ne,light,79
ne,other,59
ne,circle,35
ne,triangle,34
ne,sphere,32
ne,fireball,26
ne,disk,19
ne,oval,15
ne,cigar,12
ne,rectangle,12
ne,changing,9
ne,formation,9
ne,teardrop,7
ne,diamond,6
ne,cylinder,4
ne,flash,4
ne,chevron,3
ne,egg,3
ne,cone,2
ne,cross,1
nh,light,115
nh,other,64
nh,circle,48
nh,triangle,43
nh,disk,36
nh,sphere,36
nh,fireball,30
nh,oval,20
nh,rectangle,16
nh,cigar,15
nh,changing,14
nh,formation,11
nh,diamond,10
nh,cylinder,6
nh,teardrop,5
nh,egg,4
nh,flash,4
nh,chevron,3
nh,cone,2
nj,light,240
nj,other,180
nj,circle,125
nj,triangle,113
nj,disk,111
nj,fireball,106
nj,sphere,78
nj,oval,67
nj,formation,33
nj,cigar,31
nj,rectangle,24
nj,changing,22
nj,cylinder,19
nj,flash,19
nj,diamond,16
nj,chevron,13
nj,egg,10
nj,teardrop,10
nj,cone,6
nj,cross,2
nm,light,146
nm,other,113
nm,circle,52
nm,triangle,50
nm,disk,47
nm,sphere,44
nm,fireball,43
nm,oval,29
nm,changing,28
nm,flash,19
nm,formation,19
nm,rectangle,16
nm,cylinder,15
nm,cigar,13
nm,diamond,13
nm,chevron,11
nm,cone,11
nm,teardrop,9
nm,egg,6
nm,cross,2
nv,light,166
nv,other,129
nv,circle,67
nv,sphere,59
nv,triangle,58
nv,disk,45
nv,fireball,44
nv,oval,44
nv,formation,36
nv,changing,23
nv,cigar,22
nv,chevron,15
nv,cylinder,14
nv,flash,14
nv,rectangle,12
nv,diamond,9
nv,teardrop,9
nv,cone,3
nv,egg,3
nv,cross,1
ny,light,570
ny,other,387
ny,circle,305
ny,triangle,289
ny,fireball,226
ny,disk,216
ny,sphere,175
ny,oval,161
ny,formation,86
ny,cigar,82
ny,changing,66
ny,flash,54
ny,rectangle,51
ny,diamond,48
ny,chevron,44
ny,cylinder,41
ny,egg,36
ny,teardrop,36
ny,cross,11
ny,cone,10
oh,light,436
oh,other,283
oh,triangle,249
oh,circle,225
oh,fireball,221
oh,sphere,174
oh,disk,145
oh,oval,104
oh,formation,72
oh,cigar,56
oh,changing,49
oh,cylinder,40
oh,diamond,35
oh,rectangle,32
oh,flash,28
oh,egg,23
oh,teardrop,18
oh,chevron,17
oh,cone,13
oh,cross,9
ok,light,150
ok,other,118
ok,triangle,69
ok,circle,67
ok,fireball,49
ok,disk,46
ok,sphere,35
ok,oval,31
ok,cigar,27
ok,formation,23
ok,changing,20
ok,cylinder,14
ok,rectangle,14
ok,flash,11
ok,diamond,8
ok,chevron,7
ok,teardrop,7
ok,cone,5
ok,cross,4
ok,egg,3
or,light,396
or,other,232
or,circle,169
or,triangle,148
or,sphere,127
or,fireball,121
or,disk,81
or,oval,74
or,formation,48
or,cigar,46
or,changing,45
or,flash,33
or,cylinder,32
or,diamond,23
or,rectangle,21
or,chevron,19
or,teardrop,14
or,egg,11
or,cross,7
or,cone,5
pa,light,464
pa,other,339
pa,circle,230
pa,triangle,222
pa,fireball,213
pa,disk,166
pa,sphere,142
pa,oval,127
pa,formation,80
pa,cigar,72
pa,changing,40
pa,rectangle,40
pa,diamond,32
pa,cylinder,31
pa,flash,30
pa,egg,23
pa,teardrop,22
pa,chevron,17
pa,cone,14
pa,cross,4
pr,other,5
pr,disk,4
pr,oval,4
pr,cigar,2
pr,diamond,2
pr,sphere,2
pr,circle,1
pr,cross,1
pr,formation,1
pr,light,1
pr,triangle,1
ri,light,41
ri,circle,30
ri,other,27
ri,triangle,22
ri,fireball,20
ri,disk,17
ri,formation,12
ri,sphere,10
