,city,state,shape,month,day,year,time,latitude,longitude ,duration (seconds),Airport Name,Airport Lat,Airport Lng
71734,houston,tx,fireball,8,5,2012,22:23,29.763055600000005,-95.3630556,600.0,Yellow Cab Houston,29.7895795,-95.35374739999999
71956,miami,fl,oval,8,6,2012,21:00,25.7738889,-80.1938889,3600.0,Ferrari Express,25.7750635,-80.19280119999999
71961,seattle,wa,fireball,8,6,2012,21:33,47.6063889,-122.33083329999998,60.0,Port of Seattle,47.6138103,-122.3542749
72184,seattle,wa,rectangle,8,7,2012,8:00,47.6063889,-122.33083329999998,10.0,Port of Seattle,47.6138103,-122.3542749
72490,portland,or,unknown,8,8,2012,5:00,45.523611100000004,-122.675,8.0,PGE Service Center Heliport,45.4958241,-122.6478189
72709,seattle,wa,cigar,8,9,2012,9:03,47.6063889,-122.33083329999998,60.0,Port of Seattle,47.6138103,-122.3542749
72716,san diego,ca,other,8,9,2012,21:40,32.7152778,-117.1563889,1800.0,San Diego International Airport,32.7338006,-117.1933038
73719,phoenix,az,triangle,9,1,2012,10:35,33.4483333,-112.07333329999999,1500.0,Phoenix Mesa,33.44812590000001,-112.0740731
73724,chicago,il,other,9,1,2012,19:00,41.85,-87.65,600.0,helipad,41.8624053,-87.666196
73755,seattle,wa,fireball,9,1,2012,23:15,47.6063889,-122.33083329999998,1400.0,Port of Seattle,47.6138103,-122.3542749
74448,las vegas,nv,formation,9,14,2012,7:45,36.175,-115.1363889,180.0,Valley Hospital Medical Center Heliport,36.16337719999999,-115.1665905
74459,chicago,il,diamond,9,14,2012,20:40,41.85,-87.65,60.0,helipad,41.8624053,-87.666196
74466,chicago,il,oval,9,14,2012,22:17,41.85,-87.65,300.0,helipad,41.8624053,-87.666196
74987,phoenix,az,disk,9,15,2012,15:30,33.4483333,-112.07333329999999,2400.0,Phoenix Mesa,33.44812590000001,-112.0740731
75015,chicago,il,light,9,15,2012,23:00,41.85,-87.65,300.0,helipad,41.8624053,-87.666196
76492,san diego,ca,circle,9,21,2012,22:00,32.7152778,-117.1563889,300.0,San Diego International Airport,32.7338006,-117.1933038
76749,chicago,il,teardrop,9,2,2012,1:00,41.85,-87.65,300.0,helipad,41.8624053,-87.666196
76755,houston,tx,fireball,9,2,2012,10:05,29.763055600000005,-95.3630556,3.0,Yellow Cab Houston,29.7895795,-95.35374739999999
77026,san diego,ca,sphere,9,22,2012,16:45,32.7152778,-117.1563889,60.0,San Diego International Airport,32.7338006,-117.1933038
77293,miami,fl,formation,9,23,2012,21:00,25.7738889,-80.1938889,10.0,Ferrari Express,25.7750635,-80.19280119999999
77475,seattle,wa,rectangle,9,24,2012,19:00,47.6063889,-122.33083329999998,60.0,Port of Seattle,47.6138103,-122.3542749
77705,chicago,il,sphere,9,25,2012,5:40,41.85,-87.65,60.0,helipad,41.8624053,-87.666196
78294,los angeles,ca,unknown,9,28,2012,20:55,34.0522222,-118.2427778,300.0,Los Angeles County Mens Detention Center - Main Jail Heliport,34.0602889,-118.2304514
78296,chicago,il,circle,9,28,2012,21:15,41.85,-87.65,300.0,helipad,41.8624053,-87.666196
78527,seattle,wa,light,9,29,2012,19:58,47.6063889,-122.33083329999998,240.0,Port of Seattle,47.6138103,-122.3542749
78817,los angeles,ca,oval,9,30,2012,15:50,34.0522222,-118.2427778,900.0,Los Angeles County Mens Detention Center - Main Jail Heliport,34.0602889,-118.2304514
78821,portland,or,fireball,9,30,2012,20:15,45.523611100000004,-122.675,180.0,PGE Service Center Heliport,45.4958241,-122.6478189
79235,las vegas,nv,triangle,9,4,2012,7:00,36.175,-115.1363889,900.0,Valley Hospital Medical Center Heliport,36.16337719999999,-115.1665905
80051,miami,fl,fireball,9,8,2012,0:00,25.7738889,-80.1938889,300.0,Ferrari Express,25.7750635,-80.19280119999999
80067,seattle,wa,circle,9,8,2012,21:00,47.6063889,-122.33083329999998,1800.0,Port of Seattle,47.6138103,-122.3542749
